,text,review,sentiment
0,"@PSSI mantap.,. pelatih, pemain smua naturalisasi aja min... mudah""an lanjut pengurusnya (di Naturalisasi jg), mantap lah min... lnjutkan",mantap latih main smua naturalisasi min mudah an urus naturalisasi jg mantap min lnjutkan,positif
1,Proses Verifikasi Bakal Petinggi PSSI Diumumkan 31 Januari https://t.co/jmHsmPGJpE,proses verifikasi petinggi umum januari,netral
2,@wirasatriap23 @SekarPandann @BlueHooligan___ yakin? siga nu teu terang wae ah wkwkwk sakitu pssi kuatka siga dinasti keuangan dll tdk transparan 🤣🤣🤣,siga nu teu terang wae ah wkwkwk sakitu kuatka siga dinasti uang dll tdk transparan,netral
3,"@aundragdown @PSSleman Nek moro-moro ono wkwkwk 
Omongan PSSI ki koyo maratabak e, wolak walik 😝",nek moro moro ono wkwkwk omong ki koyo maratabak e wolak walik,netral
4,Tegas! Madura United Tolak Berikan Suara kepada Nama Lama yang Maju Jadi Pengurus PSSI Lagi – Semua Halaman – Bolasport – https://t.co/Q6OsXTG3Qt – #Arenanews #Kamidi #Opsiminfo-https://t.co/McE02Xb21k,madura united tolak suara nama maju urus halaman bolasport arenanews kamidi opsiminfo,positif
5,"Segera Diambil Sumpah WNI, Ketum PSSI Ungkap Harapan ke Shayne Pattynama – Semua Halaman – Bolasport – https://t.co/RGMWTWd1ru – #Arenanews #Kamidi #Opsiminfo-https://t.co/PDwZYKnkke",ambil sumpah wni tum harap shayne pattynama halaman bolasport arenanews kamidi opsiminfo,netral
6,Untuk memimpin PSSI perlu nyali besar.  https://t.co/1HdjsXDO10,pimpin nyali,netral
7,"Lawan  dan  hadapi  mafia  sepakbola. 
Dukung @erickthohir menjadi  Ketua umum PSSI untuk  membangun sepakbola Indonesia lebih maju  dan  berprestasi 
#ButuhNyaliBukanNyala https://t.co/7plAZgNCmp",lawan hadap mafia sepakbola dukung ketua bangun sepakbola indonesia maju prestasi butuhnyalibukannyala,netral
8,"Pasar Simo | Ngaliyan269

EPL ARSENAL MANCHESTER UNITED LIVERPOOL v CHELSEA 0-0 NEWCASTLE CR7 
JOKOWI GANJAR AHOK WALISOLO
NKRI JATENG
MOTOGP DUCATI VR46 MARQUEZ PECCO F1 SCHUMACHER VERSTAPPEN VETTEL
PSSI LIGA 1 PERSIS SOLO PERSEBI BOYOLALI PSIS SEMARANG
MPUSEH 💙 KEIHL
🔄17-05 https://t.co/5TBLbkNI1d",pasar simo ngaliyan epl arsenal manchester united liverpool v chelsea newcastle cr jokowi ganjar ahok walisolo nkri jateng motogp ducati vr marquez pecco f schumacher verstappen vettel liga persis solo persebi boyolali psis semarang mpuseh keihl,netral
9,"Harapan besar kepada @erickthohir  untuk benahi PSSI,karena selama ini dianggap PSSI masih kurang optimal dan adanya para pihak yang menjadi penghambat perkembangan sepak bola nasional.#ButuhNyaliBukanNyala https://t.co/aiDjRVLUeK",harap benah anggap optimal hambat kembang sepak bola nasional butuhnyalibukannyala,positif
